"date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used","single_breaks","multiple_break_groups","total_thread_breaks","QC_flag","b1","b2","b3","b4","b5","b6","b7","b8"
"11/4/2016",2019-04-22,"PV_161104Specimen_RawData_5.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2016",2019-04-22,"PV_161104Specimen_RawData_7.csv","63G_","2.39940",0.122902754533369,0.13915,0.110788383751747,37,32,5,44,0,32,3,2,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.204291462673932,0.20925,0.0690535142031853,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_3.csv","20AG59","0.54546",0.173898164642648,0.16539,0.085309701675718,7,7,0,7,0,7,0,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_4.csv","20AG64U","0.26425",0.0765385215110543,0.11127,0.109614595895498,3,2,1,4,1,2,1,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_5.csv","20BT61","0.31734",0.0975778768546542,0.134405,0.113178570306691,6,4,2,8,1,4,2,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_6.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_7.csv","20BT63.2.r2","0.05861",9999,0.046565,0.00635688996286707,2,2,0,2,1,2,0,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_8.csv","20BT60","0.35281",0.162316261803893,0.16035,0.075202795958661,5,5,0,5,0,5,0,0,0,0,0,0,0
"11/14/2016",2019-04-22,"PV_161114Specimen_RawData_9.csv","20BT57","0.48450",0.0642837599781815,0.08598,0.0897330245939463,9,7,2,12,0,7,1,1,0,0,0,0,0
"12/16/2016",2019-04-22,"PV_161216Specimen_RawData_1.csv","6DG_44","0.70196",0.0705022279501038,0.0943200000000001,0.112738806145493,9,6,3,13,0,6,2,1,0,0,0,0,0
"12/16/2016",2019-04-22,"PV_161216Specimen_RawData_3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-22,"PV_161216Specimen_RawData_5.csv","15BT_21","0.21588",0.0550902595580635,0.06053,0.108286179635261,3,2,1,5,1,2,0,1,0,0,0,0,0
"12/16/2016",2019-04-22,"PV_161216Specimen_RawData_6.csv","15BT_19","0.60469",0.124887277650547,0.1391,0.0779997655427584,14,14,0,14,0,14,0,0,0,0,0,0,0
"12/16/2016",2019-04-22,"PV_161216Specimen_RawData_7.csv","15AG_19","0.22100",0.0527742199218344,0.07187,0.102798866401013,3,2,1,5,1,2,0,1,0,0,0,0,0
"12/17/2016",2019-04-22,"PV_161217Specimen_RawData_2.csv","6CT_42","0.30066",0.0698364149771368,0.09142,0.134912296079095,3,2,1,5,1,2,0,1,0,0,0,0,0
"12/17/2016",2019-04-22,"PV_161217Specimen_RawData_3.csv","6CT_43","0.38913",0.083761127672379,0.106965,0.0903062623105397,8,7,1,10,0,7,0,1,0,0,0,0,0
"12/17/2016",2019-04-22,"PV_161217Specimen_RawData_4.csv","6CT_43_run2","0.34031",0.0914863497529155,0.09134,0.0362917876385278,5,5,0,5,0,5,0,0,0,0,0,0,0
"12/17/2016",2019-04-22,"PV_161217Specimen_RawData_5.csv","15CG_17","0.12803",0.0567339451221823,0.06308,0.0186250825501526,3,3,0,3,1,3,0,0,0,0,0,0,0
"12/17/2016",2019-04-22,"PV_161217Specimen_RawData_7.csv","15CG_21_run2","0.15933",0.0755189229346532,0.0845,0.0515960602501134,3,2,1,4,1,2,1,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218_2Specimen_RawData_1.csv","16CT_30","0.20278",0.117302850690591,0.10803,0.0312304269846388,8,8,0,8,0,8,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218_2Specimen_RawData_5.csv","16DG_31_run2","0.05678",9999,NA,NA,0,8,0,8,1,8,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218_2Specimen_RawData_6.csv","16DG_25","0.05567",9999,NA,NA,0,8,0,8,1,8,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218_2Specimen_RawData_7.csv","16BG_30","0.63762",0.0974893119567105,0.128305,0.1013132626834,10,8,2,12,0,8,2,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218_2Specimen_RawData_8.csv","16BG_29","0.30305",0.0683362524878691,0.058475,0.020778062750571,4,4,0,4,1,4,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218Specimen_RawData_4.csv","16AT_26_run2","0.19149",9999,0.104395,0.102056721728654,2,2,0,2,1,2,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218Specimen_RawData_5.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/18/2016",2019-04-22,"PV_161218Specimen_RawData_6.csv","17AT_40","0.55607",0.0689189182930329,0.09302,0.109724155983611,20,16,4,28,0,16,1,2,1,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218Specimen_RawData_7.csv","17AT_35","0.28481",9999,0.15265,0.145013458685737,2,2,0,2,1,2,0,0,0,0,0,0,0
"12/18/2016",2019-04-22,"PV_161218Specimen_RawData_9.csv","16CT_29_run2","0.16028",9999,0.12315,0.0600757921296091,2,2,0,2,1,2,0,0,0,0,0,0,0
