"date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used","single_breaks","multiple_break_groups","total_thread_breaks","QC_flag","b1","b2","b3","b4","b5","b6","b7","b8"
"11/4/2016",2019-04-28,"deltas_PV_161104Specimen_RawData_5.csv","","1.49282",NA,0.03031,NA,1,2,0,2,1,2,0,0,0,0,0,0,0
"11/4/2016",2019-04-28,"deltas_PV_161104Specimen_RawData_7.csv","63G_","2.39940",0.125116817195085,0.13881,0.108198172147736,36,32,5,44,0,32,3,2,0,0,0,0,0
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.207711807557574,0.19168,0.0809809199456149,7,9,0,9,0,9,0,0,0,0,0,0,0
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_3.csv","20AG59","0.54546",0.156734117327372,0.15332,0.0919269047486462,6,8,0,8,0,8,0,0,0,0,0,0,0
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_4.csv","20AG64U","0.26425",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_5.csv","20BT61","0.31734",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_6.csv","20BT63.2","0.14899",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_7.csv","20BT63.2.r2","0.05861",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_8.csv","20BT60","0.35281",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11/14/2016",2019-04-28,"deltas_PV_161114Specimen_RawData_9.csv","20BT57","0.48450",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-28,"deltas_PV_161216Specimen_RawData_1.csv","6DG_44","0.70196",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-28,"deltas_PV_161216Specimen_RawData_3.csv","6DG_Unk","0.12815",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-28,"deltas_PV_161216Specimen_RawData_5.csv","15BT_21","0.21588",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-28,"deltas_PV_161216Specimen_RawData_6.csv","15BT_19","0.60469",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/16/2016",2019-04-28,"deltas_PV_161216Specimen_RawData_7.csv","15AG_19","0.22100",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/17/2016",2019-04-28,"deltas_PV_161217Specimen_RawData_2.csv","6CT_42","0.30066",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/17/2016",2019-04-28,"deltas_PV_161217Specimen_RawData_3.csv","6CT_43","0.38913",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/17/2016",2019-04-28,"deltas_PV_161217Specimen_RawData_4.csv","6CT_43_run2","0.34031",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/17/2016",2019-04-28,"deltas_PV_161217Specimen_RawData_5.csv","15CG_17","0.12803",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12/17/2016",2019-04-28,"deltas_PV_161217Specimen_RawData_7.csv","15CG_21_run2","0.15933",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
