End date,"12/18/2016"
Specimen label,"17AT_35"
Maximum Load,"0.28481",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00166"
"0.00600","0.00006","-0.00157"
"0.01200","0.00006","-0.00151"
"0.01800","0.00012","-0.00146"
"0.02400","0.00024","-0.00128"
"0.03000","0.00036","-0.00115"
"0.03600","0.00054","-0.00114"
"0.04200","0.00072","-0.00111"
"0.04800","0.00096","-0.00113"
"0.05400","0.00120","-0.00112"
"0.06000","0.00149","-0.00113"
"0.06600","0.00185","-0.00119"
"0.07200","0.00215","-0.00116"
"0.07800","0.00257","-0.00110"
"0.08400","0.00293","-0.00104"
"0.09000","0.00335","-0.00078"
"0.09600","0.00383","-0.00063"
"0.10200","0.00436","-0.00054"
"0.10800","0.00484","-0.00043"
"0.11400","0.00538","-0.00048"
"0.12000","0.00598","-0.00043"
"0.12600","0.00652","-0.00041"
"0.13200","0.00711","-0.00040"
"0.13800","0.00771","-0.00028"
"0.14400","0.00837","-0.00023"
"0.15000","0.00903","-0.00031"
"0.15600","0.00963","-0.00040"
"0.16200","0.01028","-0.00059"
"0.16800","0.01088","-0.00068"
"0.17400","0.01154","-0.00057"
"0.18000","0.01220","-0.00044"
"0.18600","0.01285","-0.00034"
"0.19200","0.01345","-0.00028"
"0.19800","0.01411","-0.00043"
"0.20400","0.01477","-0.00050"
"0.21000","0.01543","-0.00047"
"0.21600","0.01608","-0.00046"
"0.22200","0.01674","-0.00027"
"0.22800","0.01740","-0.00010"
"0.23400","0.01800","0.00003"
"0.24000","0.01865","0.00025"
"0.24600","0.01925","0.00025"
"0.25200","0.01991","0.00027"
"0.25800","0.02051","0.00031"
"0.26400","0.02111","0.00022"
"0.27000","0.02170","0.00012"
"0.27600","0.02230","0.00001"
"0.28200","0.02284","-0.00009"
"0.28800","0.02344","-0.00010"
"0.29400","0.02398","-0.00013"
"0.30000","0.02457","-0.00019"
"0.30600","0.02511","-0.00022"
"0.31200","0.02565","-0.00038"
"0.31800","0.02625","-0.00045"
"0.32400","0.02679","-0.00031"
"0.33000","0.02732","-0.00018"
"0.33600","0.02792","0.00004"
"0.34200","0.02846","0.00024"
"0.34800","0.02900","0.00028"
"0.35400","0.02948","0.00022"
"0.36000","0.03001","0.00011"
"0.36600","0.03055","0.00009"
"0.37200","0.03109","0.00018"
"0.37800","0.03163","0.00011"
"0.38400","0.03211","0.00012"
"0.39000","0.03265","0.00024"
"0.39600","0.03312","0.00030"
"0.40200","0.03366","0.00036"
"0.40800","0.03414","0.00041"
"0.41400","0.03468","0.00028"
"0.42000","0.03516","0.00021"
"0.42600","0.03569","0.00020"
"0.43200","0.03617","0.00013"
"0.43800","0.03665","0.00009"
"0.44400","0.03719","0.00003"
"0.45000","0.03767","0.00003"
"0.45600","0.03821","0.00021"
"0.46200","0.03868","0.00034"
"0.46800","0.03922","0.00052"
"0.47400","0.03970","0.00074"
"0.48000","0.04024","0.00075"
"0.48600","0.04072","0.00079"
"0.49200","0.04119","0.00081"
"0.49800","0.04173","0.00077"
"0.50400","0.04221","0.00072"
"0.51000","0.04269","0.00056"
"0.51600","0.04317","0.00041"
"0.52200","0.04371","0.00038"
"0.52800","0.04418","0.00042"
"0.53400","0.04466","0.00056"
"0.54000","0.04520","0.00073"
"0.54600","0.04568","0.00073"
"0.55200","0.04616","0.00071"
"0.55800","0.04670","0.00076"
"0.56400","0.04717","0.00083"
"0.57000","0.04765","0.00092"
"0.57600","0.04819","0.00086"
"0.58200","0.04867","0.00071"
"0.58800","0.04921","0.00077"
"0.59400","0.04969","0.00081"
"0.60000","0.05016","0.00080"
"0.60600","0.05070","0.00085"
"0.61200","0.05118","0.00091"
"0.61800","0.05172","0.00104"
"0.62400","0.05226","0.00121"
"0.63000","0.05273","0.00126"
"0.63600","0.05327","0.00129"
"0.64200","0.05375","0.00126"
"0.64800","0.05423","0.00121"
