End date,"12/18/2016"
Specimen label,"16BG_29"
Maximum Load,"0.30305",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.00015"
"0.00600","-0.00006","0.00004"
"0.01200","-0.00006","0.00004"
"0.01800","0.00006","0.00003"
"0.02400","0.00018","0.00010"
"0.03000","0.00024","0.00015"
"0.03600","0.00036","0.00012"
"0.04200","0.00054","0.00000"
"0.04800","0.00066","-0.00018"
"0.05400","0.00090","-0.00024"
"0.06000","0.00108","-0.00015"
"0.06600","0.00138","-0.00013"
"0.07200","0.00155","-0.00014"
"0.07800","0.00179","-0.00010"
"0.08400","0.00215","-0.00008"
"0.09000","0.00257","-0.00010"
"0.09600","0.00293","0.00002"
"0.10200","0.00335","0.00018"
"0.10800","0.00377","0.00027"
"0.11400","0.00425","0.00023"
"0.12000","0.00472","0.00020"
"0.12600","0.00520","0.00025"
"0.13200","0.00574","0.00019"
"0.13800","0.00634","0.00019"
"0.14400","0.00688","0.00032"
"0.15000","0.00747","0.00040"
"0.15600","0.00807","0.00039"
"0.16200","0.00873","0.00049"
"0.16800","0.00939","0.00057"
"0.17400","0.01004","0.00066"
"0.18000","0.01070","0.00078"
"0.18600","0.01142","0.00085"
"0.19200","0.01208","0.00088"
"0.19800","0.01279","0.00083"
"0.20400","0.01345","0.00080"
"0.21000","0.01417","0.00080"
"0.21600","0.01483","0.00074"
"0.22200","0.01555","0.00070"
"0.22800","0.01626","0.00070"
"0.23400","0.01692","0.00069"
"0.24000","0.01764","0.00064"
"0.24600","0.01830","0.00055"
"0.25200","0.01895","0.00055"
"0.25800","0.01961","0.00058"
"0.26400","0.02027","0.00050"
"0.27000","0.02093","0.00047"
"0.27600","0.02158","0.00043"
"0.28200","0.02224","0.00028"
"0.28800","0.02284","0.00010"
"0.29400","0.02350","-0.00006"
"0.30000","0.02410","-0.00016"
"0.30600","0.02475","-0.00026"
"0.31200","0.02535","-0.00044"
"0.31800","0.02589","-0.00069"
"0.32400","0.02649","-0.00087"
"0.33000","0.02708","-0.00103"
"0.33600","0.02768","-0.00109"
"0.34200","0.02822","-0.00105"
"0.34800","0.02882","-0.00092"
"0.35400","0.02936","-0.00076"
"0.36000","0.02989","-0.00059"
"0.36600","0.03043","-0.00054"
"0.37200","0.03103","-0.00046"
"0.37800","0.03151","-0.00021"
"0.38400","0.03205","0.00008"
"0.39000","0.03259","0.00030"
"0.39600","0.03312","0.00043"
"0.40200","0.03366","0.00054"
"0.40800","0.03420","0.00063"
"0.41400","0.03474","0.00074"
"0.42000","0.03528","0.00085"
"0.42600","0.03575","0.00093"
"0.43200","0.03629","0.00096"
"0.43800","0.03683","0.00102"
"0.44400","0.03731","0.00109"
"0.45000","0.03779","0.00109"
"0.45600","0.03833","0.00103"
"0.46200","0.03880","0.00099"
"0.46800","0.03928","0.00091"
"0.47400","0.03982","0.00081"
"0.48000","0.04030","0.00081"
"0.48600","0.04078","0.00081"
"0.49200","0.04125","0.00083"
"0.49800","0.04179","0.00081"
"0.50400","0.04227","0.00083"
"0.51000","0.04275","0.00088"
"0.51600","0.04323","0.00088"
"0.52200","0.04371","0.00081"
"0.52800","0.04424","0.00080"
"0.53400","0.04472","0.00074"
"0.54000","0.04520","0.00075"
"0.54600","0.04568","0.00072"
"0.55200","0.04622","0.00056"
"0.55800","0.04670","0.00036"
"0.56400","0.04723","0.00018"
"0.57000","0.04771","-0.00001"
"0.57600","0.04819","-0.00014"
"0.58200","0.04873","-0.00022"
"0.58800","0.04921","-0.00019"
"0.59400","0.04969","-0.00011"
"0.60000","0.05016","-0.00001"
"0.60600","0.05064","0.00005"
"0.61200","0.05112","0.00008"
"0.61800","0.05166","0.00008"
"0.62400","0.05214","0.00004"
"0.63000","0.05261","0.00008"
"0.63600","0.05309","0.00019"
"0.64200","0.05363","0.00028"
"0.64800","0.05411","0.00033"
"0.65400","0.05459","0.00048"
"0.66000","0.05513","0.00074"
"0.66600","0.05560","0.00085"
"0.67200","0.05608","0.00094"
"0.67800","0.05662","0.00109"
"0.68400","0.05710","0.00118"
"0.69000","0.05758","0.00123"
"0.69600","0.05812","0.00126"
"0.70200","0.05859","0.00132"
"0.70800","0.05913","0.00137"
"0.71400","0.05961","0.00128"
"0.72000","0.06015","0.00114"
"0.72600","0.06063","0.00109"
"0.73200","0.06110","0.00105"
"0.73800","0.06164","0.00095"
"0.74400","0.06212","0.00088"
"0.75000","0.06260","0.00089"
"0.75600","0.06314","0.00100"
"0.76200","0.06362","0.00110"
"0.76800","0.06409","0.00120"
"0.77400","0.06463","0.00122"
"0.78000","0.06511","0.00114"
"0.78600","0.06565","0.00107"
"0.79200","0.06613","0.00115"
"0.79800","0.06661","0.00119"
"0.80400","0.06714","0.00108"
"0.81000","0.06762","0.00101"
"0.81600","0.06816","0.00099"
"0.82200","0.06864","0.00094"
"0.82800","0.06912","0.00089"
"0.83400","0.06965","0.00078"
"0.84000","0.07013","0.00074"
"0.84600","0.07067","0.00071"
"0.85200","0.07115","0.00069"
"0.85800","0.07169","0.00078"
"0.86400","0.07217","0.00080"
"0.87000","0.07270","0.00071"
"0.87600","0.07318","0.00069"
"0.88200","0.07366","0.00074"
